2017-12-30T01:24:30.086+0530 I CONTROL  [initandlisten] MongoDB starting : pid=87527 port=27017 dbpath=data/db/ 64-bit host=Bharaths-MBP
2017-12-30T01:24:30.087+0530 I CONTROL  [initandlisten] db version v3.2.9
2017-12-30T01:24:30.087+0530 I CONTROL  [initandlisten] git version: 22ec9e93b40c85fc7cae7d56e7d6a02fd811088c
2017-12-30T01:24:30.087+0530 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 0.9.8zh 14 Jan 2016
2017-12-30T01:24:30.087+0530 I CONTROL  [initandlisten] allocator: system
2017-12-30T01:24:30.088+0530 I CONTROL  [initandlisten] modules: none
2017-12-30T01:24:30.088+0530 I CONTROL  [initandlisten] build environment:
2017-12-30T01:24:30.088+0530 I CONTROL  [initandlisten]     distarch: x86_64
2017-12-30T01:24:30.088+0530 I CONTROL  [initandlisten]     target_arch: x86_64
2017-12-30T01:24:30.088+0530 I CONTROL  [initandlisten] options: { storage: { dbPath: "data/db/" }, systemLog: { destination: "file", logAppend: true, path: "data/logs/mongodb.log" } }
2017-12-30T01:24:30.088+0530 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=9G,session_max=20000,eviction=(threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),
2017-12-30T01:24:30.300+0530 I NETWORK  [HostnameCanonicalizationWorker] Starting hostname canonicalization worker
2017-12-30T01:24:30.300+0530 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory 'data/db/diagnostic.data'
2017-12-30T01:24:30.350+0530 I NETWORK  [initandlisten] waiting for connections on port 27017
2017-12-30T05:49:28.893+0530 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain address information for hostname Bharaths-MBP: nodename nor servname provided, or not known
2017-12-30T21:13:20.547+0530 I CONTROL  [main] ***** SERVER RESTARTED *****
2017-12-30T21:13:20.579+0530 I CONTROL  [initandlisten] MongoDB starting : pid=18905 port=27017 dbpath=data/db/ 64-bit host=Bharaths-MacBook-Pro.local
2017-12-30T21:13:20.579+0530 I CONTROL  [initandlisten] db version v3.2.9
2017-12-30T21:13:20.579+0530 I CONTROL  [initandlisten] git version: 22ec9e93b40c85fc7cae7d56e7d6a02fd811088c
2017-12-30T21:13:20.579+0530 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 0.9.8zh 14 Jan 2016
2017-12-30T21:13:20.579+0530 I CONTROL  [initandlisten] allocator: system
2017-12-30T21:13:20.579+0530 I CONTROL  [initandlisten] modules: none
2017-12-30T21:13:20.579+0530 I CONTROL  [initandlisten] build environment:
2017-12-30T21:13:20.579+0530 I CONTROL  [initandlisten]     distarch: x86_64
2017-12-30T21:13:20.579+0530 I CONTROL  [initandlisten]     target_arch: x86_64
2017-12-30T21:13:20.579+0530 I CONTROL  [initandlisten] options: { storage: { dbPath: "data/db/" }, systemLog: { destination: "file", logAppend: true, path: "data/logs/mongodb.log" } }
2017-12-30T21:13:20.581+0530 I -        [initandlisten] Detected data files in data/db/ created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2017-12-30T21:13:20.581+0530 W -        [initandlisten] Detected unclean shutdown - data/db/mongod.lock is not empty.
2017-12-30T21:13:20.581+0530 W STORAGE  [initandlisten] Recovering data from the last clean checkpoint.
2017-12-30T21:13:20.581+0530 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=9G,session_max=20000,eviction=(threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),
2017-12-30T21:13:21.272+0530 I NETWORK  [HostnameCanonicalizationWorker] Starting hostname canonicalization worker
2017-12-30T21:13:21.272+0530 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory 'data/db/diagnostic.data'
2017-12-30T21:13:21.274+0530 I NETWORK  [initandlisten] waiting for connections on port 27017
2017-12-30T21:13:22.022+0530 I FTDC     [ftdc] Unclean full-time diagnostic data capture shutdown detected, found interim file, some metrics may have been lost. OK
2017-12-30T21:28:24.507+0530 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.102, "nodename nor servname provided, or not known"), (192.168.0.102, "nodename nor servname provided, or not known") ]
2017-12-30T23:39:49.787+0530 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.102, "nodename nor servname provided, or not known"), (192.168.0.102, "nodename nor servname provided, or not known") ]
2017-12-30T23:54:52.835+0530 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.102, "nodename nor servname provided, or not known"), (192.168.0.102, "nodename nor servname provided, or not known") ]
2017-12-31T00:05:14.440+0530 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58779 #1 (1 connection now open)
2017-12-31T00:05:14.551+0530 I INDEX    [conn1] build index on: prod.User properties: { v: 1, unique: true, key: { email: 1 }, name: "email_1", ns: "prod.User", background: true }
